id,sport_id,time,time_status,league,home,away,ss,scores
"""10687128""","""92""","""1758098700""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1149105"",""name"":""Grzegorz Jurowicz"",""image_id"":0,""cc"":null}","{""id"":""801857"",""name"":""Kacper Slawinski"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""12"",""away"":""10""},""2"":{""home"":""10"",""away"":""12""},""3"":{""home"":""8"",""away"":""11""},""4"":{""home"":""8"",""away"":""11""}}"
"""10687127""","""92""","""1758098700""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""314216"",""name"":""Jakub Kaczmarek"",""image_id"":0,""cc"":null}","{""id"":""1140286"",""name"":""Pawel Slosarczyk"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""11"",""away"":""7""},""2"":{""home"":""7"",""away"":""11""},""3"":{""home"":""10"",""away"":""12""},""4"":{""home"":""7"",""away"":""11""}}"
"""10681661""","""92""","""1758098700""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""883646"",""name"":""Krzysztof Wloczko"",""image_id"":0,""cc"":""pl""}","{""id"":""312168"",""name"":""Marcin Balcerzak"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""6"",""away"":""11""},""2"":{""home"":""11"",""away"":""13""},""3"":{""home"":""11"",""away"":""6""},""4"":{""home"":""12"",""away"":""14""}}"
"""10687129""","""92""","""1758098100""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""678402"",""name"":""Arkadiusz Mugowski"",""image_id"":0,""cc"":null}","{""id"":""793778"",""name"":""Wojciech Gronowski"",""image_id"":0,""cc"":null}","""3-1""","{""1"":{""home"":""11"",""away"":""6""},""2"":{""home"":""11"",""away"":""13""},""3"":{""home"":""11"",""away"":""5""},""4"":{""home"":""11"",""away"":""6""}}"
"""10681700""","""92""","""1758097500""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1597"",""name"":""Jakub Kosowski"",""image_id"":0,""cc"":""pl""}","{""id"":""314349"",""name"":""Patryk Lewandowski"",""image_id"":0,""cc"":""pl""}","""3-0""","{""1"":{""home"":""11"",""away"":""4""},""2"":{""home"":""12"",""away"":""10""},""3"":{""home"":""11"",""away"":""4""}}"
"""10687131""","""92""","""1758097200""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""814050"",""name"":""Michal Oracz"",""image_id"":0,""cc"":null}","{""id"":""929675"",""name"":""Boguslaw Madej"",""image_id"":0,""cc"":null}","""3-0""","{""1"":{""home"":""11"",""away"":""8""},""2"":{""home"":""11"",""away"":""6""},""3"":{""home"":""11"",""away"":""6""}}"
"""10687130""","""92""","""1758097200""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1174360"",""name"":""Robert Kostepski"",""image_id"":0,""cc"":null}","{""id"":""1144007"",""name"":""Marian Lebek"",""image_id"":0,""cc"":null}","""2-3""","{""1"":{""home"":""7"",""away"":""11""},""2"":{""home"":""7"",""away"":""11""},""3"":{""home"":""11"",""away"":""9""},""4"":{""home"":""11"",""away"":""9""},""5"":{""home"":""7"",""away"":""11""}}"
"""10681639""","""92""","""1758097200""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""676448"",""name"":""Adrian Spychala"",""image_id"":0,""cc"":null}","{""id"":""743302"",""name"":""Karol Wisniewski"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""15"",""away"":""17""},""2"":{""home"":""8"",""away"":""11""},""3"":{""home"":""11"",""away"":""8""},""4"":{""home"":""9"",""away"":""11""}}"
"""10687035""","""92""","""1758096600""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""762910"",""name"":""Kamil Rudomina"",""image_id"":0,""cc"":null}","{""id"":""312241"",""name"":""Michal Minda"",""image_id"":0,""cc"":null}","""3-0""","{""1"":{""home"":""11"",""away"":""8""},""2"":{""home"":""11"",""away"":""6""},""3"":{""home"":""11"",""away"":""9""}}"
"""10686965""","""92""","""1758096000""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""934422"",""name"":""Michal Kumor"",""image_id"":0,""cc"":null}","{""id"":""823281"",""name"":""Rafal Idaczyk"",""image_id"":0,""cc"":null}","""0-3""","{""1"":{""home"":""7"",""away"":""11""},""2"":{""home"":""4"",""away"":""11""},""3"":{""home"":""10"",""away"":""12""}}"
